assemblea,codice,status,elettori,votanti,perc_votanti,aggiornamento,sezioni_perv,sezioni,coll_uni_perv,coll_uni,sezioni_coll_uni_perv,sk_bianche,sk_nulle,sk_contestate,livello,fine_riparto
scrutiniCI,05240151130,ESERCIZIO,2940,2371,"80,64",Dato aggiornato al 05/03/2018 - 04:58,4,4,,,,47,100,0,C,
scrutiniCI,05240151160,ESERCIZIO,9185,7217,"78,57",Dato aggiornato al 05/03/2018 - 09:59,10,10,,,,129,230,0,C,
scrutiniCI,05240151170,ESERCIZIO,1860,1512,"81,29",Dato aggiornato al 05/03/2018 - 05:04,2,2,,,,21,58,0,C,
scrutiniCI,05240151280,ESERCIZIO,2047,1541,"75,28",Dato aggiornato al 05/03/2018 - 08:10,2,2,,,,24,44,0,C,
scrutiniCI,05240151370,ESERCIZIO,2815,2345,"83,30",Dato aggiornato al 05/03/2018 - 06:04,4,4,,,,51,82,2,C,
scrutiniCI,05240151371,ESERCIZIO,3980,3373,"84,74",Dato aggiornato al 05/03/2018 - 05:47,5,5,,,,41,87,0,C,
scrutiniCI,05240151530,ESERCIZIO,3253,2690,"82,69",Dato aggiornato al 05/03/2018 - 05:22,3,3,,,,43,70,0,C,
scrutiniCI,05240151580,ESERCIZIO,3950,3282,"83,08",Dato aggiornato al 05/03/2018 - 03:51,4,4,,,,48,162,0,C,
scrutiniCI,05240151630,ESERCIZIO,1749,1375,"78,61",Dato aggiornato al 05/03/2018 - 04:32,2,2,,,,28,43,0,C,
scrutiniCI,05240151631,ESERCIZIO,3250,2676,"82,33",Dato aggiornato al 05/03/2018 - 09:26,4,4,,,,38,97,0,C,
scrutiniCI,05240151820,ESERCIZIO,2579,2115,"82,00",Dato aggiornato al 05/03/2018 - 09:26,3,3,,,,42,71,0,C,
scrutiniCI,05240151860,ESERCIZIO,6244,5126,"82,09",Dato aggiornato al 05/03/2018 - 04:42,6,6,,,,76,191,0,C,
scrutiniCI,05240151910,ESERCIZIO,1103,899,"81,50",Dato aggiornato al 05/03/2018 - 04:28,1,1,,,,12,21,0,C,
scrutiniCI,06110570010,ESERCIZIO,671,491,"73,17",Dato aggiornato al 05/03/2018 - 05:52,1,1,,,,8,23,0,C,
scrutiniCI,06110570030,ESERCIZIO,469,310,"66,09",Dato aggiornato al 05/03/2018 - 06:30,1,1,,,,6,11,0,C,
scrutiniCI,06110570110,ESERCIZIO,,,-,,0,0,,,,-,-,-,C,
scrutiniCI,06110570120,ESERCIZIO,515,387,"75,14",Dato aggiornato al 05/03/2018 - 04:56,1,1,,,,6,13,0,C,
scrutiniCI,06110570140,ESERCIZIO,2170,1665,"76,72",Dato aggiornato al 05/03/2018 - 09:26,3,3,,,,11,51,0,C,
scrutiniCI,06110570170,ESERCIZIO,786,590,"75,06",Dato aggiornato al 05/03/2018 - 05:52,1,1,,,,11,25,3,C,
scrutiniCI,06110570200,ESERCIZIO,620,408,"65,80",Dato aggiornato al 05/03/2018 - 04:59,1,1,,,,7,17,0,C,
scrutiniCI,06110570250,ESERCIZIO,1214,896,"73,80",Dato aggiornato al 05/03/2018 - 05:56,2,2,,,,17,35,0,C,
scrutiniCI,06110570280,ESERCIZIO,1110,868,"78,19",Dato aggiornato al 05/03/2018 - 05:01,2,2,,,,9,28,0,C,
scrutiniCI,06110570310,ESERCIZIO,2002,1499,"74,87",Dato aggiornato al 05/03/2018 - 09:26,3,3,,,,31,62,0,C,
scrutiniCI,06110570320,ESERCIZIO,6598,5020,"76,08",Dato aggiornato al 05/03/2018 - 08:10,7,7,,,,47,158,0,C,
scrutiniCI,06110570330,ESERCIZIO,5624,4026,"71,58",Dato aggiornato al 05/03/2018 - 05:47,6,6,,,,63,127,0,C,
scrutiniCI,06110570360,ESERCIZIO,832,633,"76,08",Dato aggiornato al 05/03/2018 - 10:08,1,1,,,,15,19,0,C,
scrutiniCI,06110570370,ESERCIZIO,824,658,"79,85",Dato aggiornato al 05/03/2018 - 04:47,1,1,,,,8,18,0,C,
scrutiniCI,06110570380,ESERCIZIO,469,329,"70,14",Dato aggiornato al 05/03/2018 - 04:21,1,1,,,,4,11,0,C,
