codice,cand_descr_riga,voti,perc
14120000000,MIRELLA EMILIOZZI,57644,"37,18"
14130000000,TULLIO PATASSINI,56778,"37,64"
14210000000,PATRIZIA TERZONI,52447,"35,24"
14220000000,MAURIZIO CATTOI,55540,"36,28"
14230000000,ANDREA CECCONI,48423,"34,98"
15130000000,ANNAGRAZIA CALABRIA,54612,"34,17"
15250000000,EMANUELA CLAUDIA DEL RE,39550,"34,06"
15310000000,MARCO BELLA,63731,"40,13"
15320000000,SEBASTIANO CUBEDDU,55360,"36,97"
15330000000,MARCO SILVESTRONI,61086,"38,20"
16110000000,MAURO ROTELLI,65443,"40,09"
16120000000,ALESSANDRO BATTILOCCHIO,63411,"39,94"
16210000000,FRANCESCO ZICCHIERI,60096,"41,04"
16220000000,ILARIA FONTANA,51912,"37,81"
16230000000,PAOLO BARELLI,65113,"46,61"
16240000000,GIORGIA MELONI,70268,"40,99"
17110000000,ANDREA COLLETTI,67001,"41,28"
17120000000,DANIELE DEL GROSSO,54858,"41,15"
17130000000,CARMELA GRIPPA,61959,"42,97"
17210000000,ANTONIO MARTINO,60650,"42,46"
17220000000,ANTONIO ZENNARO,72070,"40,58"
18110000000,ROSA ALBA TESTAMENTO,33065,"40,95"
18120000000,ANTONIO FEDERICO,45028,"48,10"
19110000000,SALVATORE MICILLO,87829,"57,92"
19120000000,LUIGI DI MAIO,95219,"63,41"
19130000000,VINCENZO SPADAFORA,88093,"59,40"
19140000000,ANDREA CASO,73175,"50,05"
19210000000,DORIANA SARLI,56753,"48,01"
19220000000,RINA DE LORENZO,68519,"62,09"
19230000000,RAFFAELE BRUNO,45558,"43,00"
19240000000,ROBERTO FICO,61819,"57,57"
19310000000,SILVANA NAPPI,59569,"47,99"
19320000000,GIANFRANCO DI SARNO,63397,"55,96"
19330000000,LUIGI GALLO,68104,"54,37"
19340000000,CATELLO VITIELLO,60324,"46,58"
20110000000,ANGELA IANARO,60555,"44,32"
20120000000,GENEROSO MARAIA,55642,"42,90"
20130000000,MICHELE GUBITOSA,62611,"44,14"
20210000000,ANTONIO DEL MONACO,90512,"54,52"
20220000000,GIUSEPPE BUOMPANE,65373,"43,74"
20230000000,NICOLA GRIMALDI,86419,"52,76"
20310000000,VIRGINIA VILLANI,71257,"44,83"
20320000000,NICOLA PROVENZA,67635,"40,84"
20330000000,NICOLA ACUNZO,57458,"41,85"
20340000000,MARZIA FERRAIOLI,45302,"34,60"
21110000000,PAOLO LATTANZIO,51935,"43,27"
21120000000,FRANCESCA ANNA RUGGIERO,83889,"50,09"
21130000000,FRANCESCA GALIZIA,54369,"43,74"
21140000000,NUNZIO ANGIOLA,72248,"48,27"
21210000000,MICHELE NITTI,57953,"40,05"
